StudentID, English, Math, Science
K001879288,357.339,636.868,730.928
K036689400,436.097,78.328,117.991
K043904209,580.758,317.516,292.377
K045485247,675.174,700.002,20.198
K047305164,515.161,210.200,213.728
K060632563,815.583,111.208,185.722
K065900365,523.511,71.846,148.863
K065948429,915.514,457.365,167.020
K070221181,179.700,393.124,940.594
K079945030,511.426,389.385,956.682
K092430431,459.030,490.809,114.488
K126880638,934.957,964.382,347.340
K130659074,642.289,982.440,470.346
K136756100,256.017,132.088,925.362
K138219372,509.143,263.513,630.957
K144894660,94.360,457.352,517.839
K161403880,604.095,939.168,850.637
K166144286,576.121,274.522,749.329
K171714852,749.783,470.137,351.679
K182860131,971.720,401.980,122.353
K238139117,868.429,444.948,263.239
K238778048,130.145,735.213,280.843
K241262463,169.019,226.195,955.673
K259049884,610.056,929.134,475.214
K259095028,198.689,569.623,895.217
K270294180,959.753,995.558,439.988
K275775648,210.183,976.157,874.751
K295081513,102.508,97.695,605.125
K302562828,788.891,435.003,739.159
K304870769,407.566,766.689,904.973
K379838709,714.258,802.925,314.571
K386290485,258.604,124.537,746.292
K421930531,75.334,960.749,369.849
K429801368,604.323,388.504,309.470
K433212771,385.617,310.334,518.397
K444571788,137.645,132.169,133.933
K446718805,716.775,925.123,249.999
K458182136,911.438,699.535,902.374
K460401669,705.803,405.147,891.271
K477560401,496.342,168.587,762.175
K479856978,619.308,438.061,879.317
K486114791,652.993,875.818,873.009
K489555292,332.113,24.166,898.257
K497173932,758.828,749.304,951.345
K511694099,334.941,905.626,571.639
K530937669,978.690,178.518,63.893
K534338501,465.119,325.523,477.910
K549282208,88.806,834.944,508.295
K555873776,4.370,771.072,713.134
K573100737,425.445,728.249,846.888
K573828526,549.401,687.664,291.980
K576783454,456.586,229.618,23.979
K590358106,939.955,498.477,973.415
K593491698,823.451,607.644,421.196
K602350845,460.819,360.559,517.065
K603535809,89.674,418.965,783.496
K618741394,664.076,987.215,602.241
K619569325,376.421,50.521,75.601
K620774020,737.251,455.992,303.241
K632986285,125.192,657.248,824.944
K633446034,326.382,249.090,680.991
K690591438,967.098,475.224,788.069
K692081830,45.132,554.782,81.509
K694742114,462.961,482.652,189.468
K699279535,948.891,693.972,815.716
K703208822,912.080,207.534,319.175
K705480368,548.696,664.971,406.598
K705777094,302.037,30.599,284.648
K707392104,875.031,253.208,408.365
K710857064,658.426,795.779,740.224
K726909543,480.169,298.141,457.127
K726970629,21.354,620.083,288.664
K737180999,712.988,795.186,373.869
K745208304,547.449,584.392,761.755
K747157358,167.248,263.162,253.205
K759570861,229.665,905.204,15.721
K762352041,217.489,173.729,71.650
K770552489,283.010,500.149,758.021
K780671898,344.762,505.695,478.172
K783462319,66.360,607.284,126.365
K794601966,683.780,535.412,54.038
K799961978,3.492,540.762,722.686
K828545742,643.687,406.432,626.464
K855137993,235.440,623.033,881.769
K857720610,450.565,62.273,171.275
K858160864,937.404,543.720,408.657
K860370181,368.590,667.182,301.754
K861155180,366.683,660.675,369.036
K870180059,898.871,135.974,488.069
K878758760,59.179,708.611,446.488
K909204234,809.158,336.096,181.334
K915748856,157.653,124.692,534.416
K920882215,564.750,159.716,261.509
K922716687,521.019,113.809,960.107
K936526121,382.732,35.842,828.964
K942479559,427.414,74.701,147.383
K984814035,665.296,766.096,244.072
K988831010,779.445,44.341,143.597
K989299042,958.883,728.086,386.888
K989354257,712.570,666.031,295.001
